Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,34.0,1.0,34.0,34.0,0.0,3980.1689822735807,3980.1689822735807,0.0,0.0,,,,,,,,,,,,,,,,1593.9011239391855,1230.9713000976556,3929.906250309961,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,72.0,2.0,38.0,72.0,0.0,2984.0654273808022,2984.0654273808022,0.0,3.1152446269989014,,,,,,,,,,,,,,,,876.4548041275591,951.0928470049405,2953.713858682638,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,89.0,3.0,17.0,89.0,0.0,1297.1602894181883,1297.1602894181883,0.0,4.698533535003662,,,,,,,,,,,,,,,,318.7348384056119,422.1023018944554,1293.0348319972898,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,152.0,4.0,63.0,152.0,0.0,7403.425060633749,7403.425060633749,0.0,9.375638961791992,,,,,,,,,,,,,,,,3514.7809845818174,2215.011136089674,7189.183041646744,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,177.0,5.0,25.0,177.0,0.0,3326.4458362013675,3326.4458362013675,0.0,18.331645727157593,,,,,,,,,,,,,,,,1518.7666157472372,1028.9833231569282,3291.7684392469337,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,205.0,6.0,28.0,205.0,0.0,3236.8811265892746,3236.8811265892746,0.0,20.734118223190308,,,,,,,,,,,,,,,,1229.0682676158717,1054.9550946807994,3205.672887984015,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,244.0,7.0,39.0,244.0,0.0,3900.9057774761236,3900.9057774761236,0.0,23.807895183563232,,,,,,,,,,,,,,,,1557.6339846420906,1216.168560965578,3844.0020541292115,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,266.0,8.0,22.0,266.0,0.0,1708.3107452124068,1708.3107452124068,0.0,25.752187490463257,,,,,,,,,,,,,,,,826.689119134301,539.9951432672945,1691.8153999914439,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,289.0,9.0,23.0,289.0,0.0,1734.1392900603282,1734.1392900603282,0.0,27.790858268737793,,,,,,,,,,,,,,,,700.6938074184371,476.64368347084957,1719.74307556527,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,322.0,10.0,33.0,322.0,0.0,2373.813340982292,2373.813340982292,0.0,30.503175020217896,,,,,,,,,,,,,,,,1162.5743712607095,750.9291324683995,2337.7861729035926,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,355.0,11.0,33.0,355.0,0.0,2666.2358288279656,2666.2358288279656,0.0,33.13384938240051,,,,,,,,,,,,,,,,917.1718697271006,769.5403793048537,2638.6077648918626,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,386.0,12.0,31.0,386.0,0.0,2695.6328737059066,2695.6328737059066,0.0,36.101038455963135,,,,,,,,,,,,,,,,906.4546862082997,824.2338189619222,2670.2029814148646,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,423.0,13.0,37.0,423.0,0.0,4667.063172158546,4667.063172158546,0.0,38.95029830932617,,,,,,,,,,,,,,,,2121.8191296134164,1376.0188107952579,4593.149013376225,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,465.0,14.0,42.0,465.0,0.0,3601.208545846241,3601.208545846241,0.0,42.25273871421814,,,,,,,,,,,,,,,,1761.6419044762415,1153.5747601416929,3530.750336194432,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
