Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,25.0,1.0,25.0,25.0,0.0,2513.116698682439,2513.116698682439,0.0,0.0,,,,,,,,,,,,,,,,1188.207833259625,713.7105450022125,2485.897400251199,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,49.0,2.0,24.0,49.0,0.0,1468.940634610417,1468.940634610417,0.0,2.1116294860839844,,,,,,,,,,,,,,,,738.0177566975432,382.68951740602057,1452.6808893390153,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,69.0,3.0,20.0,69.0,0.0,2096.7697068864995,2096.7697068864995,0.0,4.100473642349243,,,,,,,,,,,,,,,,1123.6212336271526,709.9786834251719,2076.373655869826,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,97.0,4.0,28.0,97.0,0.0,2901.293665008482,2901.293665008482,0.0,6.440289497375488,,,,,,,,,,,,,,,,1571.7263116296033,891.5780563161943,2860.145473756609,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,137.0,5.0,40.0,137.0,0.0,3441.3315146516734,3441.3315146516734,0.0,9.621053695678711,,,,,,,,,,,,,,,,1795.4469934969645,1059.2155505281821,3372.886521433227,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,167.0,6.0,30.0,167.0,0.0,3019.183218186892,3019.183218186892,0.0,12.15921139717102,,,,,,,,,,,,,,,,1587.2850296197184,912.787971931974,2974.5392065048054,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,190.0,7.0,23.0,190.0,0.0,2268.019902232594,2268.019902232594,0.0,14.209966897964478,,,,,,,,,,,,,,,,1135.9759391329642,637.4153255373618,2244.1365922247605,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,206.0,8.0,16.0,206.0,0.0,1785.5980105817334,1785.5980105817334,0.0,15.799702644348145,,,,,,,,,,,,,,,,835.7907977860737,537.7060762358064,1773.9993571743307,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,230.0,9.0,24.0,230.0,0.0,2311.930254399996,2311.930254399996,0.0,17.9089298248291,,,,,,,,,,,,,,,,1171.3811138259255,723.9382692545653,2286.1032108790523,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,259.0,10.0,29.0,259.0,0.0,2949.9346400058084,2949.9346400058084,0.0,20.373513221740723,,,,,,,,,,,,,,,,1419.028090336364,846.8420710584237,2911.6945199059587,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
