Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,16.0,1.0,16.0,16.0,0.0,1351.7993494489317,1351.7993494489317,0.0,0.0,,,,,,,,,,,,,,,,430.8898155627412,452.37043735428557,1346.2513637636919,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,32.0,2.0,16.0,32.0,0.0,2057.2547390649056,2057.2547390649056,0.0,1.6915934085845947,,,,,,,,,,,,,,,,864.7333162763,707.2017469074907,2045.4644704749603,-0.030029930029969988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,47.0,3.0,15.0,47.0,0.0,1668.8633866306,1668.8633866306,0.0,3.217829465866089,,,,,,,,,,,,,,,,612.5757078340486,539.7391023171283,1661.3360871001898,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,65.0,4.0,18.0,65.0,0.0,2187.0479925898085,2187.0479925898085,0.0,4.839835166931152,,,,,,,,,,,,,,,,834.8062005066238,706.4082029248112,2174.1956766573467,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,91.0,5.0,26.0,91.0,0.0,3819.8382894086476,3819.8382894086476,0.0,7.036542654037476,,,,,,,,,,,,,,,,1694.4961712207607,1213.5792119903201,3779.5609499068146,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,109.0,6.0,18.0,109.0,0.0,2419.806893476673,2419.806893476673,0.0,8.713693618774414,,,,,,,,,,,,,,,,1055.9150434881697,780.4963969056002,2403.2036263202053,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,124.0,7.0,15.0,124.0,0.0,2027.258703359046,2027.258703359046,0.0,10.111920356750488,,,,,,,,,,,,,,,,876.8723156359758,651.3036564160334,2016.1217403648711,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,147.0,8.0,23.0,147.0,0.0,3247.1518795568477,3247.1518795568477,0.0,12.174587726593018,,,,,,,,,,,,,,,,1401.0499856097338,1028.8735183821566,3218.145875763587,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,168.0,9.0,21.0,168.0,0.0,2753.4880524075606,2753.4880524075606,0.0,14.120565414428711,,,,,,,,,,,,,,,,1213.256971310122,869.4077345166708,2730.7403964064547,-0.044954990009999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,186.0,10.0,18.0,186.0,0.0,1816.2954492480578,1816.2954492480578,0.0,15.798940181732178,,,,,,,,,,,,,,,,726.2007454025947,571.9343297283384,1805.0288646955064,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
