Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,17.0,1.0,17.0,17.0,0.0,1193.9416466318157,1193.9416466318157,0.0,0.0,,,,,,,,,,,,,,,,484.28252079827485,404.79334144467794,1186.8957395177626,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,37.0,2.0,20.0,37.0,0.0,1143.3343667074228,1143.3343667074228,0.0,1.8545563220977783,,,,,,,,,,,,,,,,362.10560860709603,372.71133328709925,1137.2294840193006,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,54.0,3.0,17.0,54.0,0.0,1134.3050250480032,1134.3050250480032,0.0,3.4823250770568848,,,,,,,,,,,,,,,,468.9411898452204,369.57242895920507,1127.4604853059407,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,70.0,4.0,16.0,70.0,0.0,1290.663955318227,1290.663955318227,0.0,5.141356706619263,,,,,,,,,,,,,,,,399.4770410531037,430.68548529984207,1285.557880541919,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,85.0,5.0,15.0,85.0,0.0,1009.1482620169425,1009.1482620169425,0.0,6.636690616607666,,,,,,,,,,,,,,,,324.0529315006336,305.8519255799448,1005.2927608052381,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,107.0,6.0,22.0,107.0,0.0,2084.6221415977393,2084.6221415977393,0.0,8.88546371459961,,,,,,,,,,,,,,,,903.1970148033647,646.9917440427499,2066.8186258979636,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,129.0,7.0,22.0,129.0,0.0,1930.3223338755886,1930.3223338755886,0.0,10.902326583862305,,,,,,,,,,,,,,,,706.2105688221244,631.6456422162888,1916.7024037652673,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,151.0,8.0,22.0,151.0,0.0,1764.922042966439,1764.922042966439,0.0,12.82346796989441,,,,,,,,,,,,,,,,850.468781920529,584.6304830282974,1747.9596894536414,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,168.0,9.0,17.0,168.0,0.0,1570.033687103114,1570.033687103114,0.0,14.415462970733643,,,,,,,,,,,,,,,,747.6867665565157,565.8040112478741,1558.8818939656192,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,179.0,10.0,11.0,179.0,0.0,581.1800453937925,581.1800453937925,0.0,15.56836724281311,,,,,,,,,,,,,,,,156.78839843334063,178.01579559178833,580.0354084194453,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
