Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,64.0,1.0,64.0,64.0,0.0,6092.771172820126,6092.771172820126,0.0,0.0,,,,,,,,,,,,,,,,2212.4372042642563,1717.2256416600007,5957.1323240712845,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,237.0,2.0,173.0,237.0,0.0,19105.55784396721,19105.55784396721,0.0,12.258772611618042,,,,,,,,,,,,,,,,10604.173354328514,4400.937531392492,17288.324177846232,301.8044682080925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,355.0,3.0,118.0,355.0,0.0,8612.141004508525,8612.141004508525,0.0,20.69456195831299,,,,,,,,,,,,,,,,3864.575907562819,2230.4964297452775,8164.285332748863,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,385.0,4.0,30.0,385.0,0.0,2701.297807171192,2701.297807171192,0.0,23.147981882095337,,,,,,,,,,,,,,,,1097.6372619763265,763.0363237694748,2671.039729040943,-0.037514937529970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,413.0,5.0,28.0,413.0,0.0,2084.3789971045708,2084.3789971045708,0.0,25.518961906433105,,,,,,,,,,,,,,,,669.2935985268334,616.1085565436936,2067.7064828286484,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,527.0,6.0,114.0,527.0,0.0,9663.460314527785,9663.460314527785,0.0,33.754857301712036,,,,,,,,,,,,,,,,4722.8383915569375,2474.251675987898,9134.190928819111,-0.07504476514494003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,664.0,7.0,137.0,664.0,0.0,12483.357867131124,12483.357867131124,0.0,43.35792303085327,,,,,,,,,,,,,,,,5314.915575104635,3521.154427072553,11766.98141475654,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,684.0,8.0,20.0,684.0,0.0,1749.9471058561078,1749.9471058561078,0.0,45.12816882133484,,,,,,,,,,,,,,,,622.9037013026292,522.2006321402868,1739.2282600901453,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,750.0,9.0,66.0,750.0,0.0,4536.553153385469,4536.553153385469,0.0,50.1453320980072,,,,,,,,,,,,,,,,2024.5292530241493,1246.3085280795447,4407.341564250127,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,822.0,10.0,72.0,822.0,0.0,5282.508289586273,5282.508289586273,0.0,55.54168653488159,,,,,,,,,,,,,,,,2473.1081201809825,1693.25935733204,5109.554058992234,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
