Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,21.0,1.0,21.0,21.0,0.0,96.88530728307711,96.88530728307711,0.0,0.0,,,,,,,,,,,,,,,,44.72477922955901,31.875892304154835,96.04212904830472,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,65.0,2.0,44.0,65.0,0.0,312.4000834787685,312.4000834787685,0.0,3.435756206512451,,,,,,,,,,,,,,,,168.47829746277674,99.3828039692861,305.2923307211275,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,100.0,3.0,35.0,100.0,0.0,185.98316916823927,185.98316916823927,0.0,6.222347021102905,,,,,,,,,,,,,,,,92.1567562177313,58.5735544758994,182.94062332394265,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,117.0,4.0,17.0,117.0,0.0,62.61603670366808,62.61603670366808,0.0,7.762059450149536,,,,,,,,,,,,,,,,29.433271629647756,22.562752365512832,62.17784893489896,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,139.0,5.0,22.0,139.0,0.0,64.85799107465988,64.85799107465988,0.0,9.70877981185913,,,,,,,,,,,,,,,,30.935632224796283,17.582417884972646,64.2416488145289,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,195.0,6.0,56.0,195.0,0.0,407.13015478126374,407.13015478126374,0.0,13.995532035827637,,,,,,,,,,,,,,,,220.85145433863337,131.63788765213172,395.1576309692695,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,252.0,7.0,57.0,252.0,0.0,533.7477547651223,533.7477547651223,0.0,18.27862787246704,,,,,,,,,,,,,,,,306.97320822696975,165.3563317196165,516.7670489451301,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,271.0,8.0,19.0,271.0,0.0,76.76433628900078,76.76433628900078,0.0,20.03355383872986,,,,,,,,,,,,,,,,34.81895564888148,22.95707795689505,76.17895508675878,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,291.0,9.0,20.0,291.0,0.0,110.04907349983105,110.04907349983105,0.0,21.788641214370728,,,,,,,,,,,,,,,,49.70913524416683,37.66496757299731,109.16405484979755,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,307.0,10.0,16.0,307.0,0.0,56.450771555998,56.450771555998,0.0,23.3424072265625,,,,,,,,,,,,,,,,27.621315320342468,17.813151009175453,56.064895406278794,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
